Select a state/territory:,Select a county:,How dry or wet is it?,How much experience do you have with conditions there?,How many times in the past have you seen it like this?,Other,When was it like this in the past?,When was it most recently like this?,How localized or widespread are the conditions you are reporting?,How are crop conditions at this time?,Planting Status,Harvest Status,How are range conditions at this time?,Generator issues,Other,Description and/or caption information,photo_exists,Form Version,What is the date?,Crop production,Other crop production impact,Livestock production,Other,Municipal water supply,Other,Community hydropower,Public and community health,Other,Household,Other,Recreation or tourism,Other,Report other business or industry impact,Other,Fire,Fire - Other,Forestry,Forestry - Other,Wildlife habitat,Wildlife habitat - Other,Freshwater fish,Freshwater fish - Other,Spawning fish,Spawning fish - Other,Display Name,Conditions are normal or wet,x,y
Alabama,Hale,Severely Dry,20 or more years,Never,,,,Throughout Alabama,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,no,,,0,CMOR 2022 NDMC,11/15/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,decreased_stock_weights,less_water_in_ponds_creeks_etc,sold_livestock,erosion",,voluntary_conservation,,water_conservation_to_mitigate_impacts,air_quality_dust_pollen,,"reduced_outdoor_water_use,dry_lawn,increased_power_bill",,,,,,,,,,,,,,,,James Jay,,-87.6908970287493,32.71811200432392
Alabama,Hale,Severely Dry,5-10 years,Once,,2016,,The conditions are widespread and affecting all aspects of my county. Ponds and creeks are drying. Farmers are not able to feed their cows from their pastures. Farmers are having to buy feed for their cows. ,,,,null,,,Farmer brought in this most recent image of his pond on his property,1,CMOR 2022 NDMC,11/14/2023,,,,,,,,,,,,,,,,,,,,,,,,,,HaleCED,,-87.62905146099996,32.762616386000055
Alabama,Hale,Severely Dry,20 or more years,Never,,,,I am reporting based off what I have seen on my farming land which includes 400 acres which is very widespread.,,,,null,,,,0,CMOR 2022 NDMC,11/14/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,-87.6908970287493,32.71811200432392
Alabama,Hale,Severely Dry,20 or more years,Never,,,,Hale County and surrounding counties ,very_poor,later_than_normal,later_than_normal,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/14/2023,"reduced_yield,plant_stress,less_water_in_ponds_creeks_etc",,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,animal_stress,less_water_in_ponds_creeks_etc,sold_livestock",,,,,,,,,,,,,burn_or_fireworks_bans,,,,,,,,,,Keith Glover Farm,,-87.57563676759756,32.68749296748964
Alabama,St. Clair,Severely Dry,20 or more years,Twice or more,,,2018,State wide,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/13/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,,,,,,,,,-86.29653491438066,33.53276835506562
Alabama,Hale,Severely Dry,5-10 years,Once,,2016,,Widespread to the entire county,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,Report of rainfall from Research Center in Marion Junction,1,CMOR 2022 NDMC,11/13/2023,,,"reduced_pasture_forage,supplemental_feed,purchased_hay,decreased_stock_weights,hauled_water",,,,,,,,,,,,,,,,,,,,,fish_mortality,,FarmWorker,,-87.59547999999995,32.70355000000006
Alabama,Wilcox,Severely Dry,20 or more years,Once,,2007,,"Drought conditions are very widespread, plants never recovered from the extreme heat and lack of rainfall during early August. Measurable rainfall in our rain gauges is below three inches since August 1. In September and early October, we experienced the largest cracks (contraction of soil) that we have ever seen in our soils (vertisols).",,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/13/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc,hauled_water,sold_livestock,erosion",,,,,,,,,,,,,"more_fires_than_usual,more_intense_fires,more_fire_risk,property_damage,smoke_from_distant_fire,park_or_road_closure,burn_or_fireworks_bans",,,,"less_food,less_water,change_in_animal_migration,wildlife_foraging_near_people",,,,,,Chris Prevatt,,-86.96450751383692,32.000803361889595
Alabama,Talladega,Moderately Dry,20 or more years,Once,,2016,,Surrounding counties,poor,later_than_normal,later_than_normal,Poor - Pastures are providing marginal feed; supplemental feeding required.,,,,0,CMOR 2022 NDMC,11/12/2023,"reduced_yield,plant_stress,added_well_dam_pipe_etc,less_water_in_ponds_creeks_etc",,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,decreased_stock_weights,animal_stress,mortality,less_water_in_ponds_creeks_etc,sold_livestock",,,,,,,,,,,reduced_production_due_to_lack_water,,,,,,,,,,,,Wlovelady,,-86.19872519999997,33.32201200000003
Alabama,Crenshaw,Severely Dry,20 or more years,Twice or more,,,2020,,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/12/2023,,,"feeding_hay_early,supplemental_feed,purchased_hay,decreased_stock_weights,animal_stress,sold_livestock",,,,,,,,,,,,,,,,,,,,,,,,,-86.26637087495364,31.48176783040591
Alabama,Lowndes,Moderately Dry,10-20 years,Once,,2017,,Very widespread. ,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/10/2023,,,"reduced_pasture_forage,feeding_hay_early,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,,,,,,,,,-86.67894197938917,32.05874200540536
Alabama,Russell,Severely Dry,10-20 years,Never,,,,,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,We are in calving season and had to start feeding hay early even though we planted winter grass.  We have also had to use supplement feeding tubes and cubes because our winter grass didn't grow enough to matter because it was so dry. I am probably going to run out of hay which is going to be hard to come by.,0,CMOR 2022 NDMC,11/10/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,animal_stress,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,,,,,,,ccc,,-85.08165365288896,32.105059206079
Alabama,Talladega,Severely Dry,20 or more years,Once,,2016,,very widespread across central alabama,very_poor,later_than_normal,normal,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/10/2023,"reduced_yield,plant_stress,less_water_in_ponds_creeks_etc",,,,,,,,,dry_lawn,,,,,,"more_fires_than_usual,more_fire_risk,burn_or_fireworks_bans",,,,,,,,,,justin lackey,,-85.93194500819405,33.51862998377468
Alabama,Walker,Severely Dry,10-20 years,null,,,,,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/10/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,less_water_in_ponds_creeks_etc",,,,,air_quality_dust_pollen,,"increased_lawn_landscape_watering,dry_lawn",,,,,,burn_or_fireworks_bans,,,,,,,,,,cn,,-87.62010999999994,33.922020000000025
Alabama,Madison,Mildly Dry,10-20 years,Twice or more,,,2022,,,,,null,,,,0,CMOR 2022 NDMC,11/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86.58509999999995,34.72929000000005
Alabama,St. Clair,Severely Dry,20 or more years,Twice or more,,,2017,"State wide 
",,,,null,,,Had to start feeding hay earlier this year.,1,CMOR 2022 NDMC,11/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86.38439136883181,33.40382309141653
Alabama,Lawrence,Severely Dry,20 or more years,Once,,2016,,all North AL is dry,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/9/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,less_water_in_ponds_creeks_etc,hauled_water,sold_livestock",,,,,,,,,,,,,,,,,,,,,,,Elene McAbee,,-87.3201520402544,34.43780298085781
Alabama,Marshall,Severely Dry,10-20 years,Never,,,,,,,,null,,,,0,CMOR 2022 NDMC,11/9/2023,,,,,"low_or_dry_well,hauling_water,water_rate_change",,,,,"reduced_indoor_water_use,dry_lawn",,,,,,"more_fire_risk,burn_or_fireworks_bans",,,,"less_water,invasive_plant_or_animal_species",,,,,,Abby S.,,-85.33659185869323,34.301661314320484
Alabama,Mobile,Severely Dry,20 or more years,Never,,,,a few areas received more rain but was more south,,,,null,,,,0,CMOR 2022 NDMC,11/9/2023,,,,,,,,,,,,,,,,,,,,,,,,,,K BAR G FARM,,-84.39059999999859,33.75509999999942
Alabama,Coosa,Severely Dry,10-20 years,Never,,,,"Entire area is severely dry. Creeks are almost dry, only a trickle and ponds are lowering by the day.",,,,null,,,,0,CMOR 2022 NDMC,11/9/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Robbie Greene,,-86.30793309999854,33.036965199999436
Alabama,Lamar,Severely Dry,20 or more years,Twice or more,,,2012,"Surrounding Alabama counties of Pickens, Marion, Fayette ,& Tuscaloosa  are affected in Northwest Alabama.  Also , there are Mississippi counties near us : Lowndes, Oktibbeha, and Monroe County, Mississippi that  are affected by this drought. ",very_poor,earlier_than_normal,earlier_than_normal,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/9/2023,"less_water_for_irrigation,reduced_yield,crop_disease,plant_stress,added_well_dam_pipe_etc,increased_irrigation,less_water_in_ponds_creeks_etc,other","We cut and sell hay for income to support our farm and family. Hay production and income is greatly reduced.  Also, we raise and sell beef cattle, and the cost of production has increased (less profit), due to an increase in our water /utility bills. The production costs are rising due to having to buy more cattle feed, because our animals are running out of green grass , and stored hay to feed on. The drought is causing great monetary losses for farmers. ","reduced_pasture_forage,feeding_hay_early,supplemental_feed,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc,sold_livestock,other","We are currently trying to sell some beef cattle to offset farm/drought  losses for the year. However, other farmers are afraid to buy new cattle, because they have no green grass left to feed them, and there is a current shortage of hay, due to drought. Grain feed is too costly to afford much of it, to replace grass .","low_or_dry_well,moving_pumps_intakes,other","We use some county water, and some well water.  We are concerned about the continued stress on our well pumps and water levels.  We have applied for a USDA program to install improved watering abilities.  Cattle cannot live without water. ",,"air_quality_dust_pollen,garden_needs_more_water_or_yields_less,stress,increased_algal_blooms,other","Our fish pond is currently covered with some type of algae, which may result in a massive fish kill.  Our grandchild lives here part-time and is having  trouble breathing at times, due to all the dust on the farmland. ","increased_lawn_landscape_watering,dry_lawn,cracked_foundation,increased_power_bill,increased_use_of_cistern_rainwater,low_or_dry_well",,,,"barge_traffic_curtailed,reduced_sales,reduced_production_due_to_lack_water,other","The Mississippi River water level is almost at an all-time low, which restricts or eliminates barge traffic into the port/s at Amory, MS (30 miles from us), and port/s at Columbus, MS (30 miles from us.  Our community ships a LOT of timber (logs, bark chips, etc) on the Mississippi River, and the drought/ water level is affecting our local timber businesses.. Timber/wood products is in the top 3 industries for the whole state of Alabama, and must be exported for us to keep jobs, and income. Farmers cannot ship their grain , if the barges are parked. Grain supply & grain prices affect our food supply greatly!","more_fires_than_usual,more_intense_fires,more_fire_risk",,"leaves_discolored_shriveled_burnt,dead_branch_tips_and_or_dead_top,leaf_drop_or_sparse_canopy,needle_drop_or_sparse_canopy,dead_trees",,,,"less_water,other","We have an overgrowth of algae on our fish pond, which is possibly going to cause a fish kill. ",,,Lamar County Road 49,,-88.01084620453543,33.71242076196297
Alabama,Hale,Severely Dry,5-10 years,Once,,2016,,Hale countywide,poor,later_than_normal,later_than_normal,Poor - Pastures are providing marginal feed; supplemental feeding required.,,,"Had to harvest hay earlier than normal.
Ground too hard and dry to prep crops. Lack of green grass for grazing.",0,CMOR 2022 NDMC,11/9/2023,"less_water_for_irrigation,less_water_in_ponds_creeks_etc",,"reduced_pasture_forage,feeding_hay_early,less_water_in_ponds_creeks_etc",,,,,stress,,dry_lawn,,,,,,more_fire_risk,,,,,,,,,,JWLC,,-87.74296236500061,32.87552126481399
Alabama,Covington,Moderately Dry,10-20 years,Twice or more,,,2020,Widespread ,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/9/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,more_invasive_species_plants,animal_stress,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,,,,,,,Norris Farm,,-86.41652202532464,31.166011985003024
Alabama,Dale,Severely Dry,20 or more years,Never,,,,The entire county,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/9/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc,sold_livestock",,,,,air_quality_dust_pollen,,"reduced_outdoor_water_use,dry_lawn",,,,,,,,,,"less_food,less_water,water_quality_reduced,change_in_wetland_bog_swamp_muskeg",,"less_food,less_water,warmer_water_temperatures,water_quality_change",,"low_streamflow,higher_water_temperature",,Sandy Oaks Ranch ,,-85.50666702236359,31.44481197998151
Alabama,Washington,Severely Dry,20 or more years,Once,,2014,,County wide; ,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,"Pastures are very dry, small branches dried up ponds and creeks are 3 and 4 feet low ",0,CMOR 2022 NDMC,11/9/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,animal_stress,less_water_in_ponds_creeks_etc",,water_quality_issues,,,"air_quality_dust_pollen,increased_algal_blooms",,"reduced_outdoor_water_use,dry_lawn,increased_power_bill",,reduced_boating_rafting,,,,"more_fires_than_usual,smoke_from_distant_fire,burn_or_fireworks_bans",,"no_new_season_growth_no_new_buds,leaves_discolored_shriveled_burnt,needle_drop_or_sparse_canopy,change_in_fruit_nut_berry_production",,"less_food,less_water,wildlife_foraging_near_people,water_quality_reduced,change_in_wetland_bog_swamp_muskeg",,"less_water,reduced_streamflow,water_quality_change",,low_streamflow,,,,-88.32149622850966,31.436675792990357
Alabama,Pike,Severely Dry,10-20 years,Twice or more,,,2022,A 30 nautical mile radius. ,,,,null,,,,0,CMOR 2022 NDMC,11/9/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Tucker Floyd,,-85.90670379466322,31.767832506016337
Alabama,Barbour,Moderately Dry,20 or more years,Never,,,,,,,,Poor - Pastures are providing marginal feed; supplemental feeding required.,,,WAITING FOR RAIN TO PLAA NT GRASS FOR WINTER.  CANNOT BREAK UP SOIL TO PLANT IN SOME AREAS.,0,CMOR 2022 NDMC,11/9/2023,,,"reduced_pasture_forage,feeding_hay_early,purchased_hay,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,,,,,,,ALLEN GREENE,,-85.45636238896024,31.873956629032797
Alabama,Baldwin,Severely Dry,20 or more years,Never,,,,Drought conditions pretty widespread south of I-10. Unfortunately our specific farm has continuously missed the rare but occasional thunder storm or shower for the entire summer. ,,,,Poor - Pastures are providing marginal feed; supplemental feeding required.,,,,0,CMOR 2022 NDMC,11/8/2023,,,"reduced_pasture_forage,feeding_hay_early,more_invasive_species_plants,less_water_in_ponds_creeks_etc,sold_livestock",,,,,,,,,,,,,,,,,,,,,,,RLW,,-87.73945777153965,30.52188137954576
Alabama,Geneva,Severely Dry,20 or more years,Twice or more,,,2022,very widespread,,,,null,,,,0,CMOR 2022 NDMC,11/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86.08821997702505,30.99503800784937
Alabama,Blount,Severely Dry,20 or more years,Once,,2017,,"Ponds and streams throughout the area with a 25 mile radius are dried up with no flowing water and no visible signs of moisture.
",poor,later_than_normal,later_than_normal,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/8/2023,"less_water_for_irrigation,reduced_yield,plant_stress,increased_irrigation,less_water_in_ponds_creeks_etc",,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,more_invasive_species_plants,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc,hauled_water,erosion",,"broken_pipelines,water_rate_change",,,"air_quality_dust_pollen,garden_needs_more_water_or_yields_less,stress,other",Increased threat from wild fire,"dry_lawn,increased_power_bill,increased_use_of_cistern_rainwater",,,,,,"more_fires_than_usual,more_intense_fires,more_fire_risk,property_damage,smoke_from_distant_fire,burn_or_fireworks_bans",,"leaves_discolored_shriveled_burnt,dead_branch_tips_and_or_dead_top,needle_drop_or_sparse_canopy,dead_trees,more_invasive_species",,,,,,,,HF,,-86.57052635138365,33.80317985315405
Alabama,Cullman,Severely Dry,20 or more years,Twice or more,,,2017,"Widespread throughout the area. I am on the west side of cullman, many people are facing same conditions. ",very_poor,later_than_normal,normal,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/8/2023,"plant_stress,less_water_in_ponds_creeks_etc",,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,more_fires_than_usual,,,,,,,,,,dew0003,,-86.95781113740243,34.272670147625824
Alabama,Chambers,Severely Dry,20 or more years,Once,,2015,,45 mile radius,,,,null,,,,0,CMOR 2022 NDMC,11/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85.54888959212833,32.94423387090803
Alabama,,Severely Dry,20 or more years,Never,,,,,,,,null,,,,0,CMOR 2022 NDMC,11/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Jordan,,-87.34308802864658,31.402284005378487
Alabama,Morgan,Severely Dry,20 or more years,Twice or more,,,2016,Everyone's I know in the area has been affected by recent drought conditions. ,very_poor,earlier_than_normal,later_than_normal,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/8/2023,"reduced_yield,plant_stress,less_water_in_ponds_creeks_etc",,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc,hauled_water",,,,,,,,,,,,,more_fires_than_usual,,"leaves_discolored_shriveled_burnt,leaf_drop_or_sparse_canopy,needle_drop_or_sparse_canopy",,"less_food,less_water,wildlife_foraging_near_people,change_in_wetland_bog_swamp_muskeg",,,,,,Ben Champion ,,-86.76708389999854,34.46485589999941
Alabama,Calhoun,Severely Dry,20 or more years,Twice or more,,,2019,Widespread- The whole state ,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/8/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,decreased_stock_weights,sold_livestock,erosion",,,,,,,,,,,,,,,,,,,,,,,Heifner Farm ,,-85.7228538342356,33.63155640255386
Alabama,Hale,Severely Dry,20 or more years,Twice or more,,,2019,Widespread west central alabama,,,,null,,,"Ground severely cracked. Feeding hay , supplementing with feed and tubs. Watering in some pastures is a hazard because of watering holes drying up.
Typically not feeding hay or supplementing this time of year.",1,CMOR 2022 NDMC,11/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Marsh5,,-87.60468607250183,32.6798772008607
Alabama,Talladega,Moderately Dry,20 or more years,Once,,2016,,All over talladega cleburn and Calhoun county,,,,null,,,,0,CMOR 2022 NDMC,11/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Collett,,-85.82911319999855,33.55343659999942
